330,7.33,THEFT,41.6446041,-87.61072825
339,8.5,THEFT,41.6446041,-87.61072825
292,8.58,THEFT,41.64460772,-87.61305513
322,11,THEFT,41.64461202,-87.60157048
331,12.16,THEFT,41.64500923,-87.61494221
193,12,THEFT,41.64528766,-87.54001225
293,7.25,THEFT,41.64579585,-87.54247201
314,5.83,THEFT,41.64579585,-87.54247201
338,9.5,THEFT,41.64579585,-87.54247201
364,7,THEFT,41.64713589,-87.54418624
246,13.25,THEFT,41.64820101,-87.54423179
298,10.5,THEFT,41.64858878,-87.53996444
36,16.5,THEFT,41.64859937,-87.61722573
197,8,THEFT,41.64923464,-87.5468902
73,16.75,THEFT,41.64959033,-87.54593088
46,0.01,THEFT,41.64971015,-87.53624049
257,3.53,THEFT,41.64971015,-87.53624049
247,23,THEFT,41.64971317,-87.53865903
60,22.5,THEFT,41.64983204,-87.54716467
328,13.33,THEFT,41.64994138,-87.61722916
219,23,THEFT,41.65092673,-87.54351794
302,18,THEFT,41.65092673,-87.54351794
61,4.16,THEFT,41.65098716,-87.54592485
304,14,THEFT,41.65109426,-87.54473436
221,22,THEFT,41.6512236,-87.54839549
202,13,THEFT,41.65126434,-87.54592513
215,18,THEFT,41.65143133,-87.52725823
233,19.66,THEFT,41.65143133,-87.52725823
268,18,THEFT,41.65143133,-87.52725823
340,14.5,THEFT,41.65143133,-87.52725823
121,10.13,THEFT,41.65182203,-87.61647285
174,8.5,THEFT,41.65182203,-87.61647285
299,15,THEFT,41.65182203,-87.61647285
309,2,THEFT,41.65182203,-87.61647285
2,19,THEFT,41.65183772,-87.61327464
250,9.58,THEFT,41.65186267,-87.61069104
191,18.31,THEFT,41.65186461,-87.61056295
202,15.93,THEFT,41.65211046,-87.61872001
133,7.91,THEFT,41.6528186,-87.60344988
235,11.58,THEFT,41.6528642,-87.54351257
304,21,THEFT,41.65294883,-87.53867049
66,12.16,THEFT,41.65301814,-87.54715155
276,17.75,THEFT,41.65301814,-87.54715155
351,18,THEFT,41.65301814,-87.54715155
317,15,THEFT,41.65305845,-87.53745796
8,12.58,THEFT,41.65306729,-87.54351375
113,0,THEFT,41.65308137,-87.55078798
44,12.33,THEFT,41.65308375,-87.55194424
89,12.31,THEFT,41.65308375,-87.55194424
251,12,THEFT,41.65308375,-87.55194424
321,14.75,THEFT,41.65308375,-87.55194424
312,21,THEFT,41.65315464,-87.53866796
305,3,THEFT,41.65320955,-87.53867094
250,8,THEFT,41.65322688,-87.54838214
124,19,THEFT,41.65324998,-87.60482818
313,21.5,THEFT,41.65329672,-87.60484229
207,14,THEFT,41.6533297,-87.60484923
50,12,THEFT,41.6533939,-87.61724947
121,17,THEFT,41.65357271,-87.60206185
65,20,THEFT,41.65360294,-87.60206883
172,11.66,THEFT,41.65364899,-87.61459007
320,20,THEFT,41.65369915,-87.60209336
249,19.5,THEFT,41.65373383,-87.59635168
254,19,THEFT,41.65373383,-87.59635168
105,9.5,THEFT,41.65374579,-87.59993756
137,15.48,THEFT,41.65394929,-87.60215639
290,22,THEFT,41.65424469,-87.60589278
232,7.25,THEFT,41.65432701,-87.60589186
288,7.5,THEFT,41.65435363,-87.60402901
292,20.66,THEFT,41.65436884,-87.60383124
176,3,THEFT,41.6544226,-87.60755573
303,1,THEFT,41.6544912,-87.53867714
293,13.5,THEFT,41.65455447,-87.61588269
164,1.5,THEFT,41.65455966,-87.59674479
358,17.5,THEFT,41.6546341,-87.55393443
242,18.75,THEFT,41.65464689,-87.61705995
223,0,THEFT,41.65464714,-87.61710019
312,18,THEFT,41.65467596,-87.60509021
305,6.5,THEFT,41.6547382,-87.53867776
36,14,THEFT,41.65476611,-87.5447225
98,3,THEFT,41.6547752,-87.60950582
284,16.75,THEFT,41.65485661,-87.54351384
9,1.16,THEFT,41.65485777,-87.59487517
40,16,THEFT,41.65491111,-87.60755757
271,20,THEFT,41.65492193,-87.53746795
295,12,THEFT,41.65494367,-87.6023025
304,14,THEFT,41.65502157,-87.55199034
